strategy,n_folds,r2_mean,r2_std,rmse_mean,rmse_std,oob_mean
random,5,0.3886133126984627,0.010519387693096415,3.2722632106006366,0.03215389734489563,0.38769992961291566
spatial,5,0.38571045942848164,0.008104545525121984,3.280394289165534,0.02216600093318131,0.38606485912483646
runner_based,5,0.38935661627836804,0.005997636594693917,3.269562543022232,0.026582672115445852,0.3889966498568408
